number,manufacturer,flossId,description,red,green,blue
3713,DMC,DMC-3713,Salmon Very Light,255,226,226
761,DMC,DMC-761,Salmon Light,255,201,201
760,DMC,DMC-760,Salmon,245,173,173
3712,DMC,DMC-3712,Salmon Medium,241,135,135
3328,DMC,DMC-3328,Salmon Dark,227,109,109
347,DMC,DMC-347,Salmon Very Dark,191,45,45
353,DMC,DMC-353,Peach,254,215,204
352,DMC,DMC-352,Coral Light,253,156,151
351,DMC,DMC-351,Coral,233,106,103
350,DMC,DMC-350,Coral Medium,224,72,72
349,DMC,DMC-349,Coral Dark,210,16,53
817,DMC,DMC-817,Coral Red Very Dark,187,5,31
3708,DMC,DMC-3708,Melon Light,255,203,213
3706,DMC,DMC-3706,Melon Medium,255,173,188
3705,DMC,DMC-3705,Melon Dark,255,121,146
3801,DMC,DMC-3801,Melon Very Dark,231,73,103
666,DMC,DMC-666,Bright Red,227,29,66
321,DMC,DMC-321,Red,199,43,59
304,DMC,DMC-304,Red Medium,183,31,51
498,DMC,DMC-498,Red Dark,167,19,43
816,DMC,DMC-816,Garnet,151,11,35
815,DMC,DMC-815,Garnet Medium,135,7,31
814,DMC,DMC-814,Garnet Dark,123,0,27
894,DMC,DMC-894,Carnation Very Light,255,178,187
893,DMC,DMC-893,Carnation Light,252,144,162
892,DMC,DMC-892,Carnation Medium,255,121,140
891,DMC,DMC-891,Carnation Dark,255,87,115
818,DMC,DMC-818,Baby Pink,255,223,217
957,DMC,DMC-957,Geranium Pale,253,181,181
956,DMC,DMC-956,Geranium,255,145,145
963,DMC,DMC-963,Dusty Rose Ult Vy Lt,255,215,215
3716,DMC,DMC-3716,Dusty Rose Med Vy Lt,255,189,189
962,DMC,DMC-962,Dusty Rose Medium,230,138,138
961,DMC,DMC-961,Dusty Rose Dark,207,115,115
3833,DMC,DMC-3833,Raspberry Light,234,134,153
3832,DMC,DMC-3832,Raspberry Medium,219,85,110
3831,DMC,DMC-3831,Raspberry Dark,179,47,72
777,DMC,DMC-777,Raspberry Very Dark,145,53,70
819,DMC,DMC-819,Baby Pink Light,255,238,235
3326,DMC,DMC-3326,Rose Light,251,173,180
776,DMC,DMC-776,Pink Medium,252,176,185
899,DMC,DMC-899,Rose Medium,242,118,136
335,DMC,DMC-335,Rose,238,84,110
326,DMC,DMC-326,Rose Very Dark,179,59,75
151,DMC,DMC-151,Dusty Rose Vry Lt,240,206,212
3354,DMC,DMC-3354,Dusty Rose Light,228,166,172
3733,DMC,DMC-3733,Dusty Rose,232,135,155
3731,DMC,DMC-3731,Dusty Rose Very Dark,218,103,131
3350,DMC,DMC-3350,Dusty Rose Ultra Dark,188,67,101
150,DMC,DMC-150,Dusty Rose Ult Vy Dk,171,2,73
3689,DMC,DMC-3689,Mauve Light,251,191,194
3688,DMC,DMC-3688,Mauve Medium,231,169,172
3687,DMC,DMC-3687,Mauve,201,107,112
3803,DMC,DMC-3803,Mauve Dark,171,51,87
3685,DMC,DMC-3685,Mauve Very Dark,136,21,49
605,DMC,DMC-605,Cranberry Very Light,255,192,205
604,DMC,DMC-604,Cranberry Light,255,176,190
603,DMC,DMC-603,Cranberry,255,164,190
602,DMC,DMC-602,Cranberry Medium,226,72,116
601,DMC,DMC-601,Cranberry Dark,209,40,106
600,DMC,DMC-600,Cranberry Very Dark,205,47,99
3806,DMC,DMC-3806,Cyclamen Pink Light,255,140,174
3805,DMC,DMC-3805,Cyclamen Pink,243,71,139
3804,DMC,DMC-3804,Cyclamen Pink Dark,224,40,118
3609,DMC,DMC-3609,Plum Ultra Light,244,174,213
3608,DMC,DMC-3608,Plum Very Light,234,156,196
3607,DMC,DMC-3607,Plum Light,197,73,137
718,DMC,DMC-718,Plum,156,36,98
917,DMC,DMC-917,Plum Medium,155,19,89
915,DMC,DMC-915,Plum Dark,130,0,67
225,DMC,DMC-225,Shell Pink Ult Vy Lt,255,223,213
224,DMC,DMC-224,Shell Pink Very Light,235,183,175
152,DMC,DMC-152,Shell Pink Med Light,226,160,153
223,DMC,DMC-223,Shell Pink Light,204,132,124
3722,DMC,DMC-3722,Shell Pink Med,188,108,100
3721,DMC,DMC-3721,Shell Pink Dark,161,75,81
221,DMC,DMC-221,Shell Pink Vy Dk,136,62,67
778,DMC,DMC-778,Antique Mauve Vy Lt,223,179,187
3727,DMC,DMC-3727,Antique Mauve Light,219,169,178
316,DMC,DMC-316,Antique Mauve Med,183,115,127
3726,DMC,DMC-3726,Antique Mauve Dark,155,91,102
315,DMC,DMC-315,Antique Mauve Md Dk,129,73,82
3802,DMC,DMC-3802,Antique Mauve Vy Dk,113,65,73
902,DMC,DMC-902,Garnet Very Dark,130,38,55
3743,DMC,DMC-3743,Antique Violet Vy Lt,215,203,211
3042,DMC,DMC-3042,Antique Violet Light,183,157,167
3041,DMC,DMC-3041,Antique Violet Medium,149,111,124
3740,DMC,DMC-3740,Antique Violet Dark,120,87,98
3836,DMC,DMC-3836,Grape Light,186,145,170
3835,DMC,DMC-3835,Grape Medium,148,96,131
3834,DMC,DMC-3834,Grape Dark,114,55,93
154,DMC,DMC-154,Grape Very Dark,87,36,51
211,DMC,DMC-211,Lavender Light,227,203,227
210,DMC,DMC-210,Lavender Medium,195,159,195
209,DMC,DMC-209,Lavender Dark,163,123,167
208,DMC,DMC-208,Lavender Very Dark,131,91,139
3837,DMC,DMC-3837,Lavender Ultra Dark,108,58,110
327,DMC,DMC-327,Violet Dark,99,54,102
153,DMC,DMC-153,Violet Very Light,230,204,217
554,DMC,DMC-554,Violet Light,219,179,203
553,DMC,DMC-553,Violet,163,99,139
552,DMC,DMC-552,Violet  Medium,128,58,107
550,DMC,DMC-550,Violet Very Dark,92,24,78
3747,DMC,DMC-3747,Blue Violet Vy Lt,211,215,237
341,DMC,DMC-341,Blue Violet Light,183,191,221
156,DMC,DMC-156,Blue Violet Med Lt,163,174,209
340,DMC,DMC-340,Blue Violet Medium,173,167,199
155,DMC,DMC-155,Blue Violet Med Dark,152,145,182
3746,DMC,DMC-3746,Blue Violet Dark,119,107,152
333,DMC,DMC-333,Blue Violet Very Dark,92,84,120
157,DMC,DMC-157,Cornflower Blue Vy Lt,187,195,217
794,DMC,DMC-794,Cornflower Blue Light,143,156,193
793,DMC,DMC-793,Cornflower Blue Med,112,125,162
3807,DMC,DMC-3807,Cornflower Blue,96,103,140
792,DMC,DMC-792,Cornflower Blue Dark,85,91,123
158,DMC,DMC-158,Cornflower Blu M V D,76,82,110
791,DMC,DMC-791,Cornflower Blue V D,70,69,99
3840,DMC,DMC-3840,Lavender Blue Light,176,192,218
3839,DMC,DMC-3839,Lavender Blue Med,123,142,171
3838,DMC,DMC-3838,Lavender Blue Dark,92,114,148
800,DMC,DMC-800,Delft Blue Pale,192,204,222
809,DMC,DMC-809,Delft Blue,148,168,198
799,DMC,DMC-799,Delft Blue Medium,116,142,182
798,DMC,DMC-798,Delft Blue Dark,70,106,142
797,DMC,DMC-797,Royal Blue,19,71,125
796,DMC,DMC-796,Royal Blue Dark,17,65,109
820,DMC,DMC-820,Royal Blue Very Dark,14,54,92
162,DMC,DMC-162,Blue Ultra Very Light,219,236,245
827,DMC,DMC-827,Blue Very Light,189,221,237
813,DMC,DMC-813,Blue Light,161,194,215
826,DMC,DMC-826,Blue Medium,107,158,191
825,DMC,DMC-825,Blue Dark,71,129,165
824,DMC,DMC-824,Blue Very Dark,57,105,135
996,DMC,DMC-996,Electric Blue Medium,48,194,236
3843,DMC,DMC-3843,Electric Blue,20,170,208
995,DMC,DMC-995,Electric Blue Dark,38,150,182
3846,DMC,DMC-3846,Turquoise Bright Light,6,227,230
3845,DMC,DMC-3845,Turquoise Bright Med,4,196,202
3844,DMC,DMC-3844,Turquoise Bright Dark,18,174,186
159,DMC,DMC-159,Blue Gray Light,199,202,215
160,DMC,DMC-160,Blue Gray Medium,153,159,183
161,DMC,DMC-161,Blue Gray,120,128,164
3756,DMC,DMC-3756,Baby Blue Ult Vy Lt,238,252,252
775,DMC,DMC-775,Baby Blue Very Light,217,235,241
3841,DMC,DMC-3841,Baby Blue Pale,205,223,237
3325,DMC,DMC-3325,Baby Blue Light,184,210,230
3755,DMC,DMC-3755,Baby Blue,147,180,206
334,DMC,DMC-334,Baby Blue Medium,115,159,193
322,DMC,DMC-322,Baby Blue Dark,90,143,184
312,DMC,DMC-312,Baby Blue Very Dark,53,102,139
803,DMC,DMC-803,Baby Blue Ult Vy Dk,44,89,124
336,DMC,DMC-336,Navy Blue,37,59,115
823,DMC,DMC-823,Navy Blue Dark,33,48,99
939,DMC,DMC-939,Navy Blue Very Dark,27,40,83
3753,DMC,DMC-3753,Antique Blue Ult Vy Lt,219,226,233
3752,DMC,DMC-3752,Antique Blue Very Lt,199,209,219
932,DMC,DMC-932,Antique Blue Light,162,181,198
931,DMC,DMC-931,Antique Blue Medium,106,133,158
930,DMC,DMC-930,Antique Blue Dark,69,92,113
3750,DMC,DMC-3750,Antique Blue Very Dk,56,76,94
828,DMC,DMC-828,Sky Blue Vy Lt,197,232,237
3761,DMC,DMC-3761,Sky Blue Light,172,216,226
519,DMC,DMC-519,Sky Blue,126,177,200
518,DMC,DMC-518,Wedgewood Light,79,147,167
3760,DMC,DMC-3760,Wedgewood Med,62,133,162
517,DMC,DMC-517,Wedgewood Dark,59,118,143
3842,DMC,DMC-3842,Wedgewood Vry Dk,50,102,124
311,DMC,DMC-311,Wedgewood Ult VyDk,28,80,102
747,DMC,DMC-747,Peacock Blue Vy Lt,229,252,253
3766,DMC,DMC-3766,Peacock Blue Light,153,207,217
807,DMC,DMC-807,Peacock Blue,100,171,186
806,DMC,DMC-806,Peacock Blue Dark,61,149,165
3765,DMC,DMC-3765,Peacock Blue Vy Dk,52,127,140
3811,DMC,DMC-3811,Turquoise Very Light,188,227,230
598,DMC,DMC-598,Turquoise Light,144,195,204
597,DMC,DMC-597,Turquoise,91,163,179
3810,DMC,DMC-3810,Turquoise Dark,72,142,154
3809,DMC,DMC-3809,Turquoise Vy Dark,63,124,133
3808,DMC,DMC-3808,Turquoise Ult Vy Dk,54,105,112
928,DMC,DMC-928,Gray Green Vy Lt,221,227,227
927,DMC,DMC-927,Gray Green Light,189,203,203
926,DMC,DMC-926,Gray Green Med,152,174,174
3768,DMC,DMC-3768,Gray Green Dark,101,127,127
924,DMC,DMC-924,Gray Green Vy Dark,86,106,106
3849,DMC,DMC-3849,Teal Green Light,82,179,164
3848,DMC,DMC-3848,Teal Green Med,85,147,146
3847,DMC,DMC-3847,Teal Green Dark,52,125,117
964,DMC,DMC-964,Sea Green Light,169,226,216
959,DMC,DMC-959,Sea Green Med,89,199,180
958,DMC,DMC-958,Sea Green Dark,62,182,161
3812,DMC,DMC-3812,Sea Green Vy Dk,47,140,132
3851,DMC,DMC-3851,Green Bright Lt,73,179,161
943,DMC,DMC-943,Green Bright Md,61,147,132
3850,DMC,DMC-3850,Green Bright Dk,55,132,119
993,DMC,DMC-993,Aquamarine Vy Lt,144,192,180
992,DMC,DMC-992,Aquamarine Lt,111,174,159
3814,DMC,DMC-3814,Aquamarine,80,139,125
991,DMC,DMC-991,Aquamarine Dk,71,123,110
966,DMC,DMC-966,Jade Ultra Vy Lt,185,215,192
564,DMC,DMC-564,Jade Very Light,167,205,175
563,DMC,DMC-563,Jade Light,143,192,152
562,DMC,DMC-562,Jade Medium,83,151,106
505,DMC,DMC-505,Jade Green,51,131,98
3817,DMC,DMC-3817,Celadon Green Lt,153,195,170
3816,DMC,DMC-3816,Celadon Green,101,165,125
163,DMC,DMC-163,Celadon Green Md,77,131,97
3815,DMC,DMC-3815,Celadon Green Dk,71,119,89
561,DMC,DMC-561,Celadon Green VD,44,106,69
504,DMC,DMC-504,Blue Green Vy Lt,196,222,204
3813,DMC,DMC-3813,Blue Green Lt,178,212,189
503,DMC,DMC-503,Blue Green Med,123,172,148
502,DMC,DMC-502,Blue Green,91,144,113
501,DMC,DMC-501,Blue Green Dark,57,111,82
500,DMC,DMC-500,Blue Green Vy Dk,4,77,51
955,DMC,DMC-955,Nile Green Light,162,214,173
954,DMC,DMC-954,Nile Green,136,186,145
913,DMC,DMC-913,Nile Green Med,109,171,119
912,DMC,DMC-912,Emerald Green Lt,27,157,107
911,DMC,DMC-911,Emerald Green Med,24,144,101
910,DMC,DMC-910,Emerald Green Dark,24,126,86
909,DMC,DMC-909,Emerald Green Vy Dk,21,111,73
3818,DMC,DMC-3818,Emerald Grn Ult V Dk,17,90,59
369,DMC,DMC-369,Pistachio Green Vy Lt,215,237,204
368,DMC,DMC-368,Pistachio Green Lt,166,194,152
320,DMC,DMC-320,Pistachio Green Med,105,136,90
367,DMC,DMC-367,Pistachio Green Dk,97,122,82
319,DMC,DMC-319,Pistachio Grn Vy Dk,32,95,46
890,DMC,DMC-890,Pistachio Grn Ult V D,23,73,35
164,DMC,DMC-164,Forest Green Lt,200,216,184
989,DMC,DMC-989,Forest Green ,141,166,117
988,DMC,DMC-988,Forest Green Med,115,139,91
987,DMC,DMC-987,Forest Green Dk,88,113,65
986,DMC,DMC-986,Forest Green Vy Dk,64,82,48
772,DMC,DMC-772,Yellow Green Vy Lt,228,236,212
3348,DMC,DMC-3348,Yellow Green Lt,204,217,177
3347,DMC,DMC-3347,Yellow Green Med,113,147,92
3346,DMC,DMC-3346,Hunter Green,64,106,58
3345,DMC,DMC-3345,Hunter Green Dk,27,89,21
895,DMC,DMC-895,Hunter Green Vy Dk,27,83,0
704,DMC,DMC-704,Chartreuse Bright,158,207,52
703,DMC,DMC-703,Chartreuse,123,181,71
702,DMC,DMC-702,Kelly Green,71,167,47
701,DMC,DMC-701,Green Light,63,143,41
700,DMC,DMC-700,Green Bright,7,115,27
699,DMC,DMC-699,Green,5,101,23
907,DMC,DMC-907,Parrot Green Lt,199,230,102
906,DMC,DMC-906,Parrot Green Md,127,179,53
905,DMC,DMC-905,Parrot Green Dk,98,138,40
904,DMC,DMC-904,Parrot Green V Dk,85,120,34
472,DMC,DMC-472,Avocado Grn U Lt,216,228,152
471,DMC,DMC-471,Avocado Grn V Lt,174,191,121
470,DMC,DMC-470,Avocado Grn Lt,148,171,79
469,DMC,DMC-469,Avocado Green,114,132,60
937,DMC,DMC-937,Avocado Green Md,98,113,51
936,DMC,DMC-936,Avocado Grn V Dk,76,88,38
935,DMC,DMC-935,Avocado Green Dk,66,77,33
934,DMC,DMC-934,Avocado Grn Black,49,57,25
523,DMC,DMC-523,Fern Green Lt,171,177,151
3053,DMC,DMC-3053,Green Gray,156,164,130
3052,DMC,DMC-3052,Green Gray Md,136,146,104
3051,DMC,DMC-3051,Green Gray Dk,95,102,72
524,DMC,DMC-524,Fern Green Vy Lt,196,205,172
522,DMC,DMC-522,Fern Green,150,158,126
520,DMC,DMC-520,Fern Green Dark,102,109,79
3364,DMC,DMC-3364,Pine Green,131,151,95
3363,DMC,DMC-3363,Pine Green Md,114,130,86
3362,DMC,DMC-3362,Pine Green Dk,94,107,71
165,DMC,DMC-165,Moss Green Vy Lt,239,244,164
3819,DMC,DMC-3819,Moss Green Lt,224,232,104
166,DMC,DMC-166,Moss Green Md Lt,192,200,64
581,DMC,DMC-581,Moss Green,167,174,56
580,DMC,DMC-580,Moss Green Dk,136,141,51
734,DMC,DMC-734,Olive Green Lt,199,192,119
733,DMC,DMC-733,Olive Green Md,188,179,76
732,DMC,DMC-732,Olive Green,148,140,54
731,DMC,DMC-731,Olive Green Dk,147,139,55
730,DMC,DMC-730,Olive Green V Dk,130,123,48
3013,DMC,DMC-3013,Khaki Green Lt,185,185,130
3012,DMC,DMC-3012,Khaki Green Md,166,167,93
3011,DMC,DMC-3011,Khaki Green Dk,137,138,88
372,DMC,DMC-372,Mustard Lt,204,183,132
371,DMC,DMC-371,Mustard,191,166,113
370,DMC,DMC-370,Mustard Medium,184,157,100
834,DMC,DMC-834,Golden Olive Vy Lt,219,190,127
833,DMC,DMC-833,Golden Olive Lt,200,171,108
832,DMC,DMC-832,Golden Olive,189,155,81
831,DMC,DMC-831,Golden Olive Md,170,143,86
830,DMC,DMC-830,Golden Olive Dk,141,120,75
829,DMC,DMC-829,Golden Olive Vy Dk,126,107,66
613,DMC,DMC-613,Drab Brown V Lt,220,196,170
612,DMC,DMC-612,Drab Brown Lt,188,154,120
611,DMC,DMC-611,Drab Brown,150,118,86
610,DMC,DMC-610,Drab Brown Dk,121,96,71
3047,DMC,DMC-3047,Yellow Beige Lt,231,214,193
3046,DMC,DMC-3046,Yellow Beige Md,216,188,154
3045,DMC,DMC-3045,Yellow Beige Dk,188,150,106
167,DMC,DMC-167,Yellow Beige V Dk,167,124,73
746,DMC,DMC-746,Off White,252,252,238
677,DMC,DMC-677,Old Gold Vy Lt,245,236,203
422,DMC,DMC-422,Hazelnut Brown Lt,198,159,123
3828,DMC,DMC-3828,Hazelnut Brown,183,139,97
420,DMC,DMC-420,Hazelnut Brown Dk,160,112,66
869,DMC,DMC-869,Hazelnut Brown V Dk,131,94,57
728,DMC,DMC-728,Topaz,228,180,104
783,DMC,DMC-783,Topaz Medium,206,145,36
782,DMC,DMC-782,Topaz Dark,174,119,32
781,DMC,DMC-781,Topaz Very Dark,162,109,32
780,DMC,DMC-780,Topaz Ultra Vy Dk,148,99,26
676,DMC,DMC-676,Old Gold Lt,229,206,151
729,DMC,DMC-729,Old Gold Medium,208,165,62
680,DMC,DMC-680,Old Gold Dark,188,141,14
3829,DMC,DMC-3829,Old Gold Vy Dark,169,130,4
3822,DMC,DMC-3822,Straw Light,246,220,152
3821,DMC,DMC-3821,Straw,243,206,117
3820,DMC,DMC-3820,Straw Dark,223,182,95
3852,DMC,DMC-3852,Straw Very Dark,205,157,55
445,DMC,DMC-445,Lemon Light,255,251,139
307,DMC,DMC-307,Lemon,253,237,84
973,DMC,DMC-973,Canary Bright,255,227,0
444,DMC,DMC-444,Lemon Dark,255,214,0
3078,DMC,DMC-3078,Golden Yellow Vy Lt,253,249,205
727,DMC,DMC-727,Topaz Vy Lt,255,241,175
726,DMC,DMC-726,Topaz Light,253,215,85
725,DMC,DMC-725,Topaz Med Lt,255,200,64
972,DMC,DMC-972,Canary Deep,255,181,21
745,DMC,DMC-745,Yellow Pale Light,255,233,173
744,DMC,DMC-744,Yellow Pale,255,231,147
743,DMC,DMC-743,Yellow Med,254,211,118
742,DMC,DMC-742,Tangerine Light,255,191,87
741,DMC,DMC-741,Tangerine Med,255,163,43
740,DMC,DMC-740,Tangerine,255,139,0
970,DMC,DMC-970,Pumpkin Light,247,139,19
971,DMC,DMC-971,Pumpkin,246,127,0
947,DMC,DMC-947,Burnt Orange,255,123,77
946,DMC,DMC-946,Burnt Orange Med,235,99,7
900,DMC,DMC-900,Burnt Orange Dark,209,88,7
967,DMC,DMC-967,Apricot Very Light,255,222,213
3824,DMC,DMC-3824,Apricot Light,254,205,194
3341,DMC,DMC-3341,Apricot,252,171,152
3340,DMC,DMC-3340,Apricot Med,255,131,111
608,DMC,DMC-608,Burnt Orange Bright,253,93,53
606,DMC,DMC-606,Orange‑Red Bright,250,50,3
951,DMC,DMC-951,Tawny Light,255,226,207
3856,DMC,DMC-3856,Mahogany Ult Vy Lt,255,211,181
722,DMC,DMC-722,Orange Spice Light,247,151,111
721,DMC,DMC-721,Orange Spice Med,242,120,66
720,DMC,DMC-720,Orange Spice Dark,229,92,31
3825,DMC,DMC-3825,Pumpkin Pale,253,189,150
922,DMC,DMC-922,Copper Light,226,115,35
921,DMC,DMC-921,Copper,198,98,24
920,DMC,DMC-920,Copper Med,172,84,20
919,DMC,DMC-919,Red‑Copper,166,69,16
918,DMC,DMC-918,Red‑Copper Dark,130,52,10
3770,DMC,DMC-3770,Tawny Vy Light,255,238,227
945,DMC,DMC-945,Tawny,251,213,187
402,DMC,DMC-402,Mahogany Vy Lt,247,167,119
3776,DMC,DMC-3776,Mahogany Light,207,121,57
301,DMC,DMC-301,Mahogany Med,179,95,43
400,DMC,DMC-400,Mahogany Dark,143,67,15
300,DMC,DMC-300,Mahogany Vy Dk,111,47,0
3823,DMC,DMC-3823,Yellow Ultra Pale,255,253,227
3855,DMC,DMC-3855,Autumn Gold Lt,250,211,150
3854,DMC,DMC-3854,Autumn Gold Med,242,175,104
3853,DMC,DMC-3853,Autumn Gold Dk,242,151,70
3827,DMC,DMC-3827,Golden Brown Pale,247,187,119
977,DMC,DMC-977,Golden Brown Light,220,156,86
976,DMC,DMC-976,Golden Brown Med,194,129,66
3826,DMC,DMC-3826,Golden Brown,173,114,57
975,DMC,DMC-975,Golden Brown Dk,145,79,18
948,DMC,DMC-948,Peach Very Light,254,231,218
754,DMC,DMC-754,Peach Light,247,203,191
3771,DMC,DMC-3771,Terra Cotta Ult Vy Lt,244,187,169
758,DMC,DMC-758,Terra Cotta Vy Lt,238,170,155
3778,DMC,DMC-3778,Terra Cotta Light,217,137,120
356,DMC,DMC-356,Terra Cotta Med,197,106,91
3830,DMC,DMC-3830,Terra Cotta,185,85,68
355,DMC,DMC-355,Terra Cotta Dark,152,68,54
3777,DMC,DMC-3777,Terra Cotta Vy Dk,134,48,34
3779,DMC,DMC-3779,Rosewood Ult Vy Lt,248,202,200
3859,DMC,DMC-3859,Rosewood Light,186,139,124
3858,DMC,DMC-3858,Rosewood Med,150,74,63
3857,DMC,DMC-3857,Rosewood Dark,104,37,26
3774,DMC,DMC-3774,Desert Sand Vy Lt,243,225,215
950,DMC,DMC-950,Desert Sand Light,238,211,196
3064,DMC,DMC-3064,Desert Sand,196,142,112
407,DMC,DMC-407,Desert Sand Med,187,129,97
3773,DMC,DMC-3773,Desert Sand Dark,182,117,82
3772,DMC,DMC-3772,Desert Sand Vy Dk,160,108,80
632,DMC,DMC-632,Desert Sand Ult Vy Dk,135,85,57
453,DMC,DMC-453,Shell Gray Light,215,206,203
452,DMC,DMC-452,Shell Gray Med,192,179,174
451,DMC,DMC-451,Shell Gray Dark,145,123,115
3861,DMC,DMC-3861,Cocoa Light,166,136,129
3860,DMC,DMC-3860,Cocoa,125,93,87
779,DMC,DMC-779,Cocoa Dark,98,75,69
712,DMC,DMC-712,Cream,255,251,239
739,DMC,DMC-739,Tan Ult Vy Lt,248,228,200
738,DMC,DMC-738,Tan Very Light,236,204,158
437,DMC,DMC-437,Tan Light,228,187,142
436,DMC,DMC-436,Tan,203,144,81
435,DMC,DMC-435,Brown Very Light,184,119,72
434,DMC,DMC-434,Brown Light,152,94,51
433,DMC,DMC-433,Brown Med,122,69,31
801,DMC,DMC-801,Coffee Brown Dk,101,57,25
898,DMC,DMC-898,Coffee Brown Vy Dk,73,42,19
938,DMC,DMC-938,Coffee Brown Ult Dk,54,31,14
3371,DMC,DMC-3371,Black Brown,30,17,8
543,DMC,DMC-543,Beige Brown Ult Vy Lt,242,227,206
3864,DMC,DMC-3864,Mocha Beige Light,203,182,156
3863,DMC,DMC-3863,Mocha Beige Med,164,131,92
3862,DMC,DMC-3862,Mocha Beige Dark,138,110,78
3031,DMC,DMC-3031,Mocha Brown Vy Dk,75,60,42
B5200,DMC,DMC-B5200,Snow White,255,255,255
White,DMC,DMC-White,White,252,251,248
3865,DMC,DMC-3865,Winter White,249,247,241
ECRU,DMC,DMC-ECRU,Ecru,240,234,218
822,DMC,DMC-822,Beige Gray Light,231,226,211
644,DMC,DMC-644,Beige Gray Med,221,216,203
642,DMC,DMC-642,Beige Gray Dark,164,152,120
640,DMC,DMC-640,Beige Gray Vy Dk,133,123,97
3787,DMC,DMC-3787,Brown Gray Dark,98,93,80
3021,DMC,DMC-3021,Brown Gray Vy Dk,79,75,65
3024,DMC,DMC-3024,Brown Gray Vy Lt,235,234,231
3023,DMC,DMC-3023,Brown Gray Light,177,170,151
3022,DMC,DMC-3022,Brown Gray Med,142,144,120
535,DMC,DMC-535,Ash Gray Vy Lt,99,100,88
3033,DMC,DMC-3033,Mocha Brown Vy Lt,227,216,204
3782,DMC,DMC-3782,Mocha Brown Lt,210,188,166
3032,DMC,DMC-3032,Mocha Brown Med,179,159,139
3790,DMC,DMC-3790,Beige Gray Ult Dk,127,106,85
3781,DMC,DMC-3781,Mocha Brown Dk,107,87,67
3866,DMC,DMC-3866,Mocha Brn Ult Vy Lt,250,246,240
842,DMC,DMC-842,Beige Brown Vy Lt,209,186,161
841,DMC,DMC-841,Beige Brown Lt,182,155,126
840,DMC,DMC-840,Beige Brown Med,154,124,92
839,DMC,DMC-839,Beige Brown Dk,103,85,65
838,DMC,DMC-838,Beige Brown Vy Dk,89,73,55
3072,DMC,DMC-3072,Beaver Gray Vy Lt,230,232,232
648,DMC,DMC-648,Beaver Gray Lt,188,180,172
647,DMC,DMC-647,Beaver Gray Med,176,166,156
646,DMC,DMC-646,Beaver Gray Dk,135,125,115
645,DMC,DMC-645,Beaver Gray Vy Dk,110,101,92
844,DMC,DMC-844,Beaver Gray Ult Dk,72,72,72
762,DMC,DMC-762,Pearl Gray Vy Lt,236,236,236
415,DMC,DMC-415,Pearl Gray,211,211,214
318,DMC,DMC-318,Steel Gray Lt,171,171,171
414,DMC,DMC-414,Steel Gray Dk,140,140,140
168,DMC,DMC-168,Pewter Very Light,209,209,209
169,DMC,DMC-169,Pewter Light,132,132,132
317,DMC,DMC-317,Pewter Gray,108,108,108
413,DMC,DMC-413,Pewter Gray Dark,86,86,86
3799,DMC,DMC-3799,Pewter Gray Vy Dk,66,66,66
310,DMC,DMC-310,Black,0,0,0